GU,SQ1_2,AQ1_1,AQ1_2,AQ1_3,AQ1_4,AQ2_1,AQ2_2,AQ2_3,AQ2_4,AQ2_5,AQ3,AQ4,AQ7_1,AQ7_2,AQ7_3,AQ7_4,AQ23_1,AQ23_2,AQ23_3,AQ23_4,AQ30_1,AQ30_2,AQ30_3,AQ30_4,AQ30_5,DEW2,wtb1
110,2,3,3,3,4,5,5,3,4,3,4,2,4,5,3,3,5,4,4,2,10,10,9,8,10,5,53.088
110,1,3,2,3,4,4,5,3,3,3,4,2,4,5,4,3,5,5,5,2,10,9,9,8,9,2,77.878
110,2,3,2,4,4,3,4,3,2,2,4,3,3,4,3,4,5,5,4,3,9,9,8,8,9,5,339.374
110,1,3,4,5,4,5,4,3,4,3,5,2,4,5,3,2,5,5,4,2,8,8,7,6,7,6,253.181
110,2,4,4,4,5,5,4,4,4,3,4,2,4,5,4,3,5,5,3,3,9,8,9,6,7,6,205.915
110,1,2,3,4,4,3,3,3,2,2,4,4,3,4,2,2,5,4,5,5,10,9,10,7,9,6,220.588
110,2,4,1,4,3,4,4,2,3,3,4,2,3,4,2,2,5,5,4,2,8,8,9,7,8,6,179.407
110,1,4,3,5,4,4,4,4,3,3,4,2,4,4,2,3,5,5,3,2,8,9,8,7,7,5,62.646
110,2,4,3,4,4,4,5,3,4,3,4,3,4,4,2,3,5,5,2,2,6,5,5,5,6,5,63.322
110,1,4,2,5,4,4,5,2,3,4,4,3,3,5,2,3,5,4,5,5,9,8,9,8,8,5,179.496
110,2,4,3,3,4,4,5,2,3,4,3,2,3,5,3,3,5,5,3,3,8,9,8,6,7,5,181.433
110,1,4,2,3,4,4,2,1,2,2,4,3,3,5,3,2,5,5,3,3,10,9,10,8,9,6,220.588
110,2,4,4,4,4,4,3,3,2,3,4,3,4,5,2,3,4,5,4,3,8,9,7,6,8,6,179.407
110,1,4,2,4,5,4,3,3,3,4,5,3,5,5,2,3,5,5,4,3,8,7,8,8,8,6,99.576
110,2,4,2,4,5,4,5,4,3,4,5,3,4,5,3,2,5,5,4,3,9,10,8,8,8,6,80.986
110,1,3,3,4,5,4,4,2,3,4,5,4,4,5,3,2,5,5,5,5,10,9,9,9,9,5,113.964
110,2,4,4,5,4,4,3,3,3,4,4,2,4,5,2,2,5,5,3,3,7,8,7,6,8,5,115.194
110,1,5,3,3,4,4,4,4,2,4,5,2,5,5,3,4,5,4,5,5,9,9,9,7,9,6,99.576
110,2,4,3,3,3,5,4,3,2,4,4,3,4,5,3,3,5,5,5,5,8,9,8,7,9,6,80.986
110,1,5,2,3,4,3,4,2,3,3,5,1,4,3,3,3,5,4,4,3,7,6,8,6,9,6,577.69
110,2,4,2,4,4,3,4,3,2,3,4,2,4,5,3,2,5,5,5,3,9,9,7,7,7,6,469.842
110,1,5,3,5,4,3,4,3,2,4,5,2,5,4,4,4,5,4,2,2,9,9,8,8,8,4,26.833
110,2,4,3,2,2,4,3,3,3,3,3,2,4,4,4,4,5,4,5,3,5,4,5,4,5,2,290.378
110,1,4,2,4,4,4,5,4,3,4,4,2,4,4,2,2,5,5,3,2,10,9,10,8,9,3,25.161
110,1,4,4,5,4,4,4,4,4,4,4,3,5,5,3,3,5,4,3,2,8,9,8,7,9,4,10.888
110,2,4,4,4,4,4,4,2,3,4,4,3,4,4,2,3,5,5,4,3,9,7,8,8,9,4,11.778
110,1,5,3,4,5,4,3,3,3,4,4,2,5,4,3,4,5,5,4,4,7,9,8,8,9,4,8.961
110,2,4,3,3,4,4,4,2,2,4,4,3,4,4,2,3,5,5,3,2,9,9,8,7,9,4,9.694
